"order_date";"market";"target_profit"
"2011-8-11";"Africa";1774
"2011-8-12";"Africa";23
"2011-8-13";"Africa";18
"2011-8-14";"Africa";44
"2011-8-15";"Africa";115
"2011-8-16";"Africa";451
"2011-8-17";"Africa";44
"2011-8-18";"Africa";96
"2011-8-19";"Africa";14
"2011-8-20";"Africa";19
"2011-8-21";"Africa";46
"2011-8-22";"Africa";18
"2011-8-23";"Africa";26
"2011-8-24";"Africa";417
"2011-8-25";"Africa";30
"2011-8-26";"Africa";48
"2011-8-27";"Africa";4
"2011-8-28";"Africa";16
"2011-8-29";"Africa";1295
"2011-8-30";"Africa";312
"2011-8-31";"Africa";111
"2011-9-1";"Africa";22
"2011-9-2";"Africa";163
"2011-9-3";"Africa";3
"2011-9-4";"Africa";99
"2011-9-5";"Africa";23
"2011-9-6";"Africa";21
"2011-9-7";"Africa";103
"2011-9-8";"Africa";688
"2011-9-9";"Africa";58
"2011-9-10";"Africa";4
"2011-9-11";"Africa";78
"2011-9-12";"Africa";31
"2011-9-13";"Africa";5
"2011-9-14";"Africa";1831
"2011-9-15";"Africa";3
"2011-9-16";"Africa";35
"2011-9-17";"Africa";19
"2011-9-18";"Africa";24
"2011-9-19";"Africa";216
"2011-9-20";"Africa";250
"2011-9-21";"Africa";785
"2011-9-22";"Africa";55
"2011-9-23";"Africa";6
"2011-9-24";"Africa";14
"2011-9-25";"Africa";15
"2011-9-26";"Africa";86
"2011-9-27";"Africa";96
"2011-9-28";"Africa";40
"2011-9-29";"Africa";24
"2011-9-30";"Africa";287
"2011-10-1";"Africa";208
"2011-10-2";"Africa";4
"2011-10-3";"Africa";24
"2011-10-4";"Africa";43
"2011-10-5";"Africa";8
"2011-10-6";"Africa";3
"2011-10-7";"Africa";104
"2011-10-8";"Africa";1
"2011-10-9";"Africa";18
"2011-10-10";"Africa";303
"2011-10-11";"Africa";3
"2011-10-12";"Africa";31
"2011-10-13";"Africa";60
"2011-10-14";"Africa";155
"2011-10-15";"Africa";22
"2011-10-16";"Africa";29
"2011-10-17";"Africa";34
"2011-10-18";"Africa";62
"2011-10-19";"Africa";58
"2011-10-20";"Africa";189
"2011-10-21";"Africa";49
"2011-10-22";"Africa";110
"2011-10-23";"Africa";53
"2011-10-24";"Africa";39
"2011-10-25";"Africa";334
"2011-10-26";"Africa";258
"2011-10-27";"Africa";129
"2011-10-28";"Africa";367
"2011-10-29";"Africa";37
"2011-10-30";"Africa";52
"2011-10-31";"Africa";596
"2011-11-1";"Africa";93
"2011-11-2";"Africa";108
"2011-11-3";"Africa";28
"2011-11-4";"Africa";171
"2011-11-5";"Africa";145
"2011-11-6";"Africa";36
"2011-11-7";"Africa";310
"2011-11-8";"Africa";115
"2011-11-9";"Africa";8
"2011-11-10";"Africa";21
"2011-11-11";"Africa";113
"2011-11-12";"Africa";403
"2011-11-13";"Africa";50
"2011-11-14";"Africa";10
"2011-11-15";"Africa";9
"2011-11-16";"Africa";473
"2011-11-17";"Africa";461
"2011-11-18";"Africa";157
"2011-11-19";"Africa";53
"2011-11-20";"Africa";44
"2011-11-21";"Africa";793
"2011-11-22";"Africa";313
"2011-11-23";"Africa";786
"2011-11-24";"Africa";2
"2011-11-25";"Africa";285
"2011-11-26";"Africa";86
"2011-11-27";"Africa";33
"2011-11-28";"Africa";86
"2011-11-29";"Africa";39
"2011-11-30";"Africa";37
"2011-12-1";"Africa";22
"2011-12-2";"Africa";56
"2011-12-3";"Africa";13
"2011-12-4";"Africa";5
"2011-12-5";"Africa";50
"2011-12-6";"Africa";33
"2011-12-7";"Africa";3
"2011-12-8";"Africa";110
"2011-12-9";"Africa";1
"2011-12-10";"Africa";5
"2011-12-11";"Africa";41
"2011-12-12";"Africa";62
"2011-12-13";"Africa";111
"2011-12-14";"Africa";811
"2011-12-15";"Africa";934
"2011-12-16";"Africa";18
"2011-12-17";"Africa";1959
"2011-12-18";"Africa";95
"2011-12-19";"Africa";11
"2011-12-20";"Africa";563
"2011-12-21";"Africa";176
"2011-12-22";"Africa";524
"2011-12-23";"Africa";53
"2011-12-24";"Africa";212
"2011-12-25";"Africa";48
"2011-12-26";"Africa";26
"2011-12-27";"Africa";28
"2011-12-28";"Africa";347
"2011-12-29";"Africa";1
"2011-12-30";"Africa";317
"2011-12-31";"Africa";226
"2012-1-1";"Africa";26
"2012-1-2";"Africa";53
"2012-1-3";"Africa";289
"2012-1-4";"Africa";82
"2012-1-5";"Africa";81
"2012-1-6";"Africa";4
"2012-1-7";"Africa";14
"2012-1-8";"Africa";15
"2012-1-9";"Africa";50
"2012-1-10";"Africa";84
"2012-1-11";"Africa";27
"2012-1-12";"Africa";26
"2012-1-13";"Africa";51
"2012-1-14";"Africa";196
"2012-1-15";"Africa";35
"2012-1-16";"Africa";43
"2012-1-17";"Africa";124
"2012-1-18";"Africa";678
"2012-1-19";"Africa";181
"2012-1-20";"Africa";30
"2012-1-21";"Africa";116
"2012-1-22";"Africa";51
"2012-1-23";"Africa";6
"2012-1-24";"Africa";27
"2012-1-25";"Africa";2
"2012-1-26";"Africa";43
"2012-1-27";"Africa";32
"2012-1-28";"Africa";456
"2012-1-29";"Africa";60
"2012-1-30";"Africa";256
"2012-1-31";"Africa";91
"2012-2-1";"Africa";562
"2012-2-2";"Africa";85
"2012-2-3";"Africa";84
"2012-2-4";"Africa";30
"2012-2-5";"Africa";18
"2012-2-6";"Africa";348
"2012-2-7";"Africa";115
"2012-2-8";"Africa";19
"2012-2-9";"Africa";11
"2012-2-10";"Africa";55
"2012-2-11";"Africa";70
"2012-2-12";"Africa";12
"2012-2-13";"Africa";32
"2012-2-14";"Africa";47
"2012-2-15";"Africa";160
"2012-2-16";"Africa";43
"2012-2-17";"Africa";84
"2012-2-18";"Africa";1
"2012-2-19";"Africa";15
"2012-2-20";"Africa";359
"2012-2-21";"Africa";123
"2012-2-22";"Africa";2
"2012-2-23";"Africa";37
"2012-2-24";"Africa";54
"2012-2-25";"Africa";7
"2012-2-26";"Africa";34
"2012-2-27";"Africa";79
"2012-2-28";"Africa";7
"2012-2-29";"Africa";42
"2012-3-1";"Africa";20
"2012-3-2";"Africa";141
"2012-3-3";"Africa";63
"2012-3-4";"Africa";77
"2012-3-5";"Africa";41
"2012-3-6";"Africa";159
"2012-3-7";"Africa";29
"2012-3-8";"Africa";48
"2012-3-9";"Africa";205
"2012-3-10";"Africa";7
"2012-3-11";"Africa";74
"2012-3-12";"Africa";30
"2012-3-13";"Africa";16
"2012-3-14";"Africa";76
"2012-3-15";"Africa";36
"2012-3-16";"Africa";502
"2012-3-17";"Africa";93
"2012-3-18";"Africa";6
"2012-3-19";"Africa";211
"2012-3-20";"Africa";60
"2012-3-21";"Africa";61
"2012-3-22";"Africa";90
"2012-3-23";"Africa";699
"2012-3-24";"Africa";33
"2012-3-25";"Africa";98
"2012-3-26";"Africa";41
"2012-3-27";"Africa";50
"2012-3-28";"Africa";36
"2012-3-29";"Africa";461
"2012-3-30";"Africa";330
"2012-3-31";"Africa";10
"2012-4-1";"Africa";41
"2012-4-2";"Africa";201
"2012-4-3";"Africa";15
"2012-4-4";"Africa";118
"2012-4-5";"Africa";3
"2012-4-6";"Africa";393
"2012-4-7";"Africa";25
"2012-4-8";"Africa";11
"2012-4-9";"Africa";83
"2012-4-10";"Africa";71
"2012-4-11";"Africa";59
"2012-4-12";"Africa";44
"2012-4-13";"Africa";103
"2012-4-14";"Africa";15
"2012-4-15";"Africa";32
"2012-4-16";"Africa";5
"2012-4-17";"Africa";42
"2012-4-18";"Africa";53
"2012-4-19";"Africa";28
"2012-4-20";"Africa";46
"2012-4-21";"Africa";7
"2012-4-22";"Africa";18
"2012-4-23";"Africa";56
"2012-4-24";"Africa";31
"2012-4-25";"Africa";1015
"2012-4-26";"Africa";48
"2012-4-27";"Africa";53
"2012-4-28";"Africa";1
"2012-4-29";"Africa";19
"2012-4-30";"Africa";40
"2012-5-1";"Africa";4
"2012-5-2";"Africa";99
"2012-5-3";"Africa";12
"2012-5-4";"Africa";21
"2012-5-5";"Africa";9
"2012-5-6";"Africa";41
"2012-5-7";"Africa";88
"2012-5-8";"Africa";13
"2012-5-9";"Africa";2
"2012-5-10";"Africa";16
"2012-5-11";"Africa";32
"2012-5-12";"Africa";1
"2012-5-13";"Africa";29
"2012-5-14";"Africa";9
"2012-5-15";"Africa";60
"2012-5-16";"Africa";38
"2012-5-17";"Africa";42
"2012-5-18";"Africa";398
"2012-5-19";"Africa";470
"2012-5-20";"Africa";58
"2012-5-21";"Africa";6
"2012-5-22";"Africa";674
"2012-5-23";"Africa";9
"2012-5-24";"Africa";61
"2012-5-25";"Africa";208
"2012-5-26";"Africa";515
"2012-5-27";"Africa";123
"2012-5-28";"Africa";506
"2012-5-29";"Africa";57
"2012-5-30";"Africa";22
"2012-5-31";"Africa";21
"2012-6-1";"Africa";459
"2012-6-2";"Africa";32
"2012-6-3";"Africa";32
"2012-6-4";"Africa";1284
"2012-6-5";"Africa";178
"2012-6-6";"Africa";40
"2012-6-7";"Africa";121
"2012-6-8";"Africa";8
"2012-6-9";"Africa";334
"2012-6-10";"Africa";6
"2012-6-11";"Africa";201
"2012-6-12";"Africa";1989
"2012-6-13";"Africa";72
"2012-6-14";"Africa";10
"2012-6-15";"Africa";160
"2012-6-16";"Africa";388
"2012-6-17";"Africa";19
"2012-6-18";"Africa";200
"2012-6-19";"Africa";1236
"2012-6-20";"Africa";15
"2012-6-21";"Africa";8
"2012-6-22";"Africa";3
"2012-6-23";"Africa";716
"2012-6-24";"Africa";56
"2012-6-25";"Africa";20
"2012-6-26";"Africa";84
"2012-6-27";"Africa";100
"2012-6-28";"Africa";97
"2012-6-29";"Africa";9
"2012-6-30";"Africa";20
"2012-7-1";"Africa";38
"2012-7-2";"Africa";30
"2012-7-3";"Africa";855
"2012-7-4";"Africa";57
"2012-7-5";"Africa";25
"2012-7-6";"Africa";16
"2012-7-7";"Africa";28
"2012-7-8";"Africa";13
"2012-7-9";"Africa";8
"2012-7-10";"Africa";22
"2012-7-11";"Africa";7
"2012-7-12";"Africa";103
"2012-7-13";"Africa";17
"2012-7-14";"Africa";6
"2012-7-15";"Africa";60
"2012-7-16";"Africa";549
"2012-7-17";"Africa";9
"2012-7-18";"Africa";259
"2012-7-19";"Africa";23
"2012-7-20";"Africa";83
"2012-7-21";"Africa";1
"2012-7-22";"Africa";32
"2012-7-23";"Africa";58
"2012-7-24";"Africa";64
"2012-7-25";"Africa";17
"2012-7-26";"Africa";248
"2012-7-27";"Africa";51
"2012-7-28";"Africa";104
"2012-7-29";"Africa";88
"2012-7-30";"Africa";4
"2012-7-31";"Africa";187
"2012-8-1";"Africa";180
"2012-8-2";"Africa";148
"2012-8-3";"Africa";908
"2012-8-4";"Africa";34
"2012-8-5";"Africa";7
"2012-8-6";"Africa";10
"2012-8-7";"Africa";18
"2012-8-8";"Africa";13
"2012-8-9";"Africa";14
"2012-8-10";"Africa";9
"2012-8-11";"Africa";20
"2012-8-12";"Africa";36
"2012-8-13";"Africa";510
"2012-8-14";"Africa";657
"2012-8-15";"Africa";136
"2012-8-16";"Africa";582
"2012-8-17";"Africa";492
"2012-8-18";"Africa";14
"2012-8-19";"Africa";30
"2012-8-20";"Africa";1542
"2012-8-21";"Africa";131
"2012-8-22";"Africa";9
"2012-8-23";"Africa";464
"2012-8-24";"Africa";637
"2012-8-25";"Africa";78
"2012-8-26";"Africa";37
"2012-8-27";"Africa";1608
"2012-8-28";"Africa";319
"2012-8-29";"Africa";21
"2012-8-30";"Africa";61
"2012-8-31";"Africa";49
"2012-9-1";"Africa";8
"2012-9-2";"Africa";262
"2012-9-3";"Africa";29
"2012-9-4";"Africa";190
"2012-9-5";"Africa";111
"2012-9-6";"Africa";327
"2012-9-7";"Africa";1314
"2012-9-8";"Africa";15
"2012-9-9";"Africa";46
"2012-9-10";"Africa";1368
"2012-9-11";"Africa";152
"2012-9-12";"Africa";8
"2012-9-13";"Africa";360
"2012-9-14";"Africa";118
"2012-9-15";"Africa";365
"2012-9-16";"Africa";36
"2012-9-17";"Africa";11
"2012-9-18";"Africa";787
"2012-9-19";"Africa";1314
"2012-9-20";"Africa";14
"2012-9-21";"Africa";885
"2012-9-22";"Africa";50
"2012-9-23";"Africa";101
"2012-9-24";"Africa";41
"2012-9-25";"Africa";15
"2012-9-26";"Africa";120
"2012-9-27";"Africa";129
"2012-9-28";"Africa";12
"2012-9-29";"Africa";114
"2012-9-30";"Africa";97
"2012-10-1";"Africa";253
"2012-10-2";"Africa";34
"2012-10-3";"Africa";1
"2012-10-4";"Africa";40
"2012-10-5";"Africa";12
"2012-10-6";"Africa";15
"2012-10-7";"Africa";34
"2012-10-8";"Africa";35
"2012-10-9";"Africa";206
"2012-10-10";"Africa";32
"2012-10-11";"Africa";48
"2012-10-12";"Africa";5036
"2012-10-13";"Africa";17
"2012-10-14";"Africa";73
"2012-10-15";"Africa";169
"2012-10-16";"Africa";45
"2012-10-17";"Africa";748
"2012-10-18";"Africa";1
"2012-10-19";"Africa";13
"2012-10-20";"Africa";16
"2012-10-21";"Africa";30
"2012-10-22";"Africa";24
"2012-10-23";"Africa";53
"2012-10-24";"Africa";46
"2012-10-25";"Africa";27
"2012-10-26";"Africa";96
"2012-10-27";"Africa";31
"2012-10-28";"Africa";32
"2012-10-29";"Africa";9
"2012-10-30";"Africa";23
"2012-10-31";"Africa";6
"2012-11-1";"Africa";29
"2012-11-2";"Africa";376
"2012-11-3";"Africa";43
"2012-11-4";"Africa";41
"2012-11-5";"Africa";159
"2012-11-6";"Africa";46
"2012-11-7";"Africa";250
"2012-11-8";"Africa";1
"2012-11-9";"Africa";166
"2012-11-10";"Africa";39
"2012-11-11";"Africa";71
"2012-11-12";"Africa";149
"2012-11-13";"Africa";241
"2012-11-14";"Africa";588
"2012-11-15";"Africa";762
"2012-11-16";"Africa";66
"2012-11-17";"Africa";63
"2012-11-18";"Africa";8
"2012-11-19";"Africa";8
"2012-11-20";"Africa";179
"2012-11-21";"Africa";200
"2012-11-22";"Africa";165
"2012-11-23";"Africa";79
"2012-11-24";"Africa";16
"2012-11-25";"Africa";10
"2012-11-26";"Africa";6
"2012-11-27";"Africa";8
"2012-11-28";"Africa";216
"2012-11-29";"Africa";579
"2012-11-30";"Africa";150
"2012-12-1";"Africa";71
"2012-12-2";"Africa";41
"2012-12-3";"Africa";43
"2012-12-4";"Africa";299
"2012-12-5";"Africa";106
"2012-12-6";"Africa";659
"2012-12-7";"Africa";512
"2012-12-8";"Africa";621
"2012-12-9";"Africa";298
"2012-12-10";"Africa";107
"2012-12-11";"Africa";94
"2012-12-12";"Africa";9
"2012-12-13";"Africa";616
"2012-12-14";"Africa";9
"2012-12-15";"Africa";5
"2012-12-16";"Africa";4
"2012-12-17";"Africa";36
"2012-12-18";"Africa";803
"2012-12-19";"Africa";23
"2012-12-20";"Africa";696
"2012-12-21";"Africa";39
"2012-12-22";"Africa";385
"2012-12-23";"Africa";51
"2012-12-24";"Africa";1591
"2012-12-25";"Africa";1958
"2012-12-26";"Africa";91
"2012-12-27";"Africa";152
"2012-12-28";"Africa";7
"2012-12-29";"Africa";25
"2012-12-30";"Africa";38
"2012-12-31";"Africa";65
"2013-1-1";"Africa";17
"2013-1-2";"Africa";34
"2013-1-3";"Africa";25
"2013-1-4";"Africa";16
"2013-1-5";"Africa";191
"2013-1-6";"Africa";29
"2013-1-7";"Africa";41
"2013-1-8";"Africa";72
"2013-1-9";"Africa";311
"2013-1-10";"Africa";23
"2013-1-11";"Africa";875
"2013-1-12";"Africa";28
"2013-1-13";"Africa";24
"2013-1-14";"Africa";287
"2013-1-15";"Africa";21
"2013-1-16";"Africa";478
"2013-1-17";"Africa";21
"2013-1-18";"Africa";37
"2013-1-19";"Africa";32
"2013-1-20";"Africa";2
"2013-1-21";"Africa";111
"2013-1-22";"Africa";79
"2013-1-23";"Africa";40
"2013-1-24";"Africa";58
"2013-1-25";"Africa";1776
"2013-1-26";"Africa";12
"2013-1-27";"Africa";2
"2013-1-28";"Africa";857
"2013-1-29";"Africa";1
"2013-1-30";"Africa";290
"2013-1-31";"Africa";156
"2013-2-1";"Africa";31
"2013-2-2";"Africa";200
"2013-2-3";"Africa";92
"2013-2-4";"Africa";57
"2013-2-5";"Africa";1757
"2013-2-6";"Africa";701
"2013-2-7";"Africa";404
"2013-2-8";"Africa";1801
"2013-2-9";"Africa";65
"2013-2-10";"Africa";20
"2013-2-11";"Africa";497
"2013-2-12";"Africa";50
"2013-2-13";"Africa";159
"2013-2-14";"Africa";117
"2013-2-15";"Africa";23
"2013-2-16";"Africa";45
"2013-2-17";"Africa";2047
"2013-2-18";"Africa";126
"2013-2-19";"Africa";346
"2013-2-20";"Africa";3
"2013-2-21";"Africa";65
"2013-2-22";"Africa";886
"2013-2-23";"Africa";434
"2013-2-24";"Africa";30
"2013-2-25";"Africa";17
"2013-2-26";"Africa";1574
"2013-2-27";"Africa";332
"2013-2-28";"Africa";13
"2013-3-1";"Africa";1588
"2013-3-2";"Africa";217
"2013-3-3";"Africa";24
"2013-3-4";"Africa";74
"2013-3-5";"Africa";96
"2013-3-6";"Africa";29
"2013-3-7";"Africa";3
"2013-3-8";"Africa";257
"2013-3-9";"Africa";9
"2013-3-10";"Africa";68
"2013-3-11";"Africa";309
"2013-3-12";"Africa";45
"2013-3-13";"Africa";536
"2013-3-14";"Africa";42
"2013-3-15";"Africa";263
"2013-3-16";"Africa";22
"2013-3-17";"Africa";4
"2013-3-18";"Africa";83
"2013-3-19";"Africa";75
"2013-3-20";"Africa";255
"2013-3-21";"Africa";435
"2013-3-22";"Africa";41
"2013-3-23";"Africa";246
"2013-3-24";"Africa";31
"2013-3-25";"Africa";18
"2013-3-26";"Africa";5
"2013-3-27";"Africa";6
"2013-3-28";"Africa";70
"2013-3-29";"Africa";1338
"2013-3-30";"Africa";65
"2013-3-31";"Africa";42
"2013-4-1";"Africa";130
"2013-4-2";"Africa";93
"2013-4-3";"Africa";151
"2013-4-4";"Africa";730
"2013-4-5";"Africa";276
"2013-4-6";"Africa";79
"2013-4-7";"Africa";80
"2013-4-8";"Africa";98
"2013-4-9";"Africa";32
"2013-4-10";"Africa";173
"2013-4-11";"Africa";49
"2013-4-12";"Africa";16
"2013-4-13";"Africa";365
"2013-4-14";"Africa";58
"2013-4-15";"Africa";276
"2013-4-16";"Africa";15
"2013-4-17";"Africa";27
"2013-4-18";"Africa";943
"2013-4-19";"Africa";299
"2013-4-20";"Africa";108
"2013-4-21";"Africa";36
"2013-4-22";"Africa";5
"2013-4-23";"Africa";15
"2013-4-24";"Africa";49
"2013-4-25";"Africa";52
"2013-4-26";"Africa";253
"2013-4-27";"Africa";23
"2013-4-28";"Africa";222
"2013-4-29";"Africa";66
"2013-4-30";"Africa";44
"2013-5-1";"Africa";66
"2013-5-2";"Africa";20
"2013-5-3";"Africa";192
"2013-5-4";"Africa";23
"2013-5-5";"Africa";13
"2013-5-6";"Africa";6
"2013-5-7";"Africa";405
"2013-5-8";"Africa";638
"2013-5-9";"Africa";156
"2013-5-10";"Africa";86
"2013-5-11";"Africa";192
"2013-5-12";"Africa";6
"2013-5-13";"Africa";340
"2013-5-14";"Africa";31
"2013-5-15";"Africa";918
"2013-5-16";"Africa";573
"2013-5-17";"Africa";421
"2013-5-18";"Africa";16
"2013-5-19";"Africa";35
"2013-5-20";"Africa";0
"2013-5-21";"Africa";81
"2013-5-22";"Africa";229
"2013-5-23";"Africa";4
"2013-5-24";"Africa";18
"2013-5-25";"Africa";203
"2013-5-26";"Africa";82
"2013-5-27";"Africa";1747
"2013-5-28";"Africa";44
"2013-5-29";"Africa";166
"2013-5-30";"Africa";23
"2013-5-31";"Africa";578
"2013-6-1";"Africa";310
"2013-6-2";"Africa";3
"2013-6-3";"Africa";746
"2013-6-4";"Africa";21
"2013-6-5";"Africa";426
"2013-6-6";"Africa";109
"2013-6-7";"Africa";33
"2013-6-8";"Africa";34
"2013-6-9";"Africa";43
"2013-6-10";"Africa";235
"2013-6-11";"Africa";195
"2013-6-12";"Africa";58
"2013-6-13";"Africa";503
"2013-6-14";"Africa";43
"2013-6-15";"Africa";10
"2013-6-16";"Africa";19
"2013-6-17";"Africa";348
"2013-6-18";"Africa";196
"2013-6-19";"Africa";9
"2013-6-20";"Africa";16
"2013-6-21";"Africa";56
"2013-6-22";"Africa";427
"2013-6-23";"Africa";57
"2013-6-24";"Africa";1833
"2013-6-25";"Africa";120
"2013-6-26";"Africa";48
"2013-6-27";"Africa";173
"2013-6-28";"Africa";225
"2013-6-29";"Africa";12
"2013-6-30";"Africa";11
"2013-7-1";"Africa";870
"2013-7-2";"Africa";233
"2013-7-3";"Africa";3141
"2013-7-4";"Africa";40
"2013-7-5";"Africa";12
"2013-7-6";"Africa";42
"2013-7-7";"Africa";2
"2013-7-8";"Africa";109
"2013-7-9";"Africa";44
"2013-7-10";"Africa";172
"2013-7-11";"Africa";20
"2013-7-12";"Africa";1037
"2013-7-13";"Africa";7
"2013-7-14";"Africa";298
"2013-7-15";"Africa";56
"2013-7-16";"Africa";0
"2013-7-17";"Africa";30
